groups,name,isAdmin,id
系统管理,公司信息,1,v_company
系统管理,公司认证,1,v_company_authentication
系统管理,部门信息,1,v_company_dept
系统管理,职位信息,1,v_company_position
系统管理,员工信息,1,v_company_employee
系统管理,角色权限,1,v_company_roll
系统管理,系统设置,1,v_company_setup
工作管理,项目管理,0,project
工作管理,任务管理,0,task
办公助理,审批助理,0,approval
办公助理,投票,0,poll
人事,排班,1,arrange
人事,考勤,1,attendance
人事,报告,1,report
其它,日程助理,0,agenda
其它,通讯录,0,addressbook
其它,公司公告,0,notice
其它,消息中心,0,infocenter
供应链,物料信息,1,a
供应链,库存管理,1,b
供应链,往来公司,1,c
供应链,销售订单,1,d
供应链,出货单,1,e
供应链,采购订单,1,f
供应链,入库单,1,g
供应链,设置,1,h
供应链,财务,1,i
供应链,报表,1,j






