物料编码,物料版本,物料描述,物料类型,采购单位,库存单位,物料品牌,单价,成本中心,小类,最小采购量,安全库存,备注
BK00000020,,Bearing 6204 ZZ C3,1,EA,EA,,,,,,,
BK00000021,,Bearing 6305 ZZ C3,1,EA,EA,,,,,,,
BK00000022,,Bearing 6306 ZZ C3,1,EA,EA,,,,,,,
BK00000024,,Bearing 6308 ZZ C3,1,EA,EA,,,,,,,
BK00000026,,Bearing 6310 ZZ C3,1,EA,EA,,,,,,,
BK00000075,,SEAL FRONT - 6305 - PLASTIC,1,EA,EA,,,,,,,
BK00000078,,SEAL FRONT - 6306 - PLASTIC,1,EA,EA,,,,,,,
BK00000887,,Bearing 6312 ZZ C3,1,EA,EA,,,,,,,
BK00000888,,Bearing 6309 ZZ C3,1,EA,EA,,,,,,,
BK00000992,,SEAL FRONT - 6308 - PLASTIC,1,EA,EA,,,,,,,
BK00000994,,SEAL FRONT - 6310 - PLASTIC,1,EA,EA,,,,,,,
BK00001206,,WASHER PLAIN M10 DIN125 GALV,1,EA,EA,,,,,,,
BK00001383,,"Spacer 50,5X0,50 mm",1,EA,EA,,,,,,,
BK00001384,,"Spacer 40,5X0,50 mm",1,EA,EA,,,,,,,
BK00001385,,"Spacer 30,5X0,50 mm",1,EA,EA,,,,,,,
BP00000006,,Bearing 6307 ZZ C3,1,EA,EA,,,,,,,
BP00001492,,Back Seal 6305,1,EA,EA,,,,,,,
BP00001493,,Back Seal 6308,1,EA,EA,,,,,,,
BP00001494,,Back Seal 6310,1,EA,EA,,,,,,,
BP00001495,,Back Seal 6306,1,EA,EA,,,,,,,
BP00001514,,Circlip 45x1.75 DIN 471,1,EA,EA,,,,,,,
BP00001515,,Circlip 25x1.2 DIN 471,1,EA,EA,,,,,,,
BP00001519,,Circlip 30x1.5 DIN 471,1,EA,EA,,,,,,,
BP00001526,,Circlip 40x1.75 DIN 471,1,EA,EA,,,,,,,
BP00001527,,Circlip 50x2 DIN 471,1,EA,EA,,,,,,,
BP00002000,,Paint Sandvik orange 22175 Penguard FC,1,L,L,,,,,,,
BP00002163,,"HEXAGON HEAD NUT, DIN 934 (ISO 4032),M10",1,EA,EA,,,,,,,
BP00005053,,Circlip 35x1.5 DIN 471,1,EA,EA,,,,,,,
BP00005120,,Back Seal 6309E,1,EA,EA,,,,,,,
BP00005121,,Back Seal 6307,1,EA,EA,,,,,,,
BP00006319,,LOCKING ELEMENT110x155 1006 Bikon,1,EA,EA,,,,,,,
BP00006324,,LOCKING ELEMENT160x210 1006 Bikon,1,EA,EA,,,,,,,
BP00006370,,LOCKING ELEMENT120x170 6006 Bikon,1,EA,EA,,,,,,,
BP00006372,,LOCKING ELEMENT140x195 6006 Bikon,1,EA,EA,,,,,,,
BP00006417,,LOCKING ELEMENT  150x210 2006 Bikon,1,EA,EA,,,,,,,
BP00006418,,LOCKING ELEMENT  160x220 2006 Bikon,1,EA,EA,,,,,,,
BP00006420,,LOCKING ELEMENT  180x250 2006 Bikon,1,EA,EA,,,,,,,
BP00006422,,LOCKING ELEMENT  200x270 2006 Bikon,1,EA,EA,,,,,,,
BP00006424,,LOCKING ELEMENT  240x310 2006 Bikon,1,EA,EA,,,,,,,
BP00006425,,LOCKING ELEMENT  260x330 2006 Bikon,1,EA,EA,,,,,,,
BP00006428,,LOCKING ELEMENT  320x405 2006 Bikon,1,EA,EA,,,,,,,
BP00006432,,LOCKING ELEMENT  400x485 2006 Bikon,1,EA,EA,,,,,,,
BP00006509,,"Spacer 20,5X0,50 mm",1,EA,EA,,,,,,,
BP00009781,,SEAL FRONT - 6312 - PLASTIC,1,EA,EA,,,,,,,
BP00012549,,BOLT HEXAGON HEAD DIN 933 8.8 M6X12mm GA,1,EA,EA,,,,,,,
BP00013268,,LOCKING ELEMENT RINGFEDER 7012 DIA 480 x,1,EA,EA,,,,,,,
BP00016050,,Paint Epoxy Zinc Rich GreyJotunbarrier80,1,L,L,,,,,,,
BP00016551,,L-bar_1_hole--60x75x6 mm,1,EA,EA,,,,,,,
BP00016552,,L EN 10056-1-75x75x6,1,EA,EA,,,,,,,
BP00016753,,Pate for Pulley dia 1300 x 50mm thick.,1,EA,EA,,,,,,,
BP00018753,,"BOLT HEXAGON HEAD, DIN 933, 8.8, M10X25M",1,EA,EA,,,,,,,
BP00028612,,"Tube 152,4X6 mm SAE 1008/1012",1,M,M,,,,,,,
BP00029215,,"Tube 152,4X4 mm SAE 1008/1012",1,M,M,,,,,,,
BP00029217,,"Tube 152,4X6 mm SAE 1008/1012",1,M,M,,,,,,,
BP00029218,,"Tube 177,8X6 mm SAE 1008/1012",1,M,M,,,,,,,
BP00043509,,"Spacer 35,5X0,50 mm",1,EA,EA,,,,,,,
BP00043510,,"Spacer 45,5X0,50 mm",1,EA,EA,,,,,,,
BP00048115,,"Tube 88,9X2,9 mm SAE 1008/1012",1,M,M,,,,,,,
